supersection,product,mix_prop
Eastern Great Plains,hardwood_lumber,0.40931020255931
Eastern Great Plains,plywood,0
Eastern Great Plains,osb,0
Eastern Great Plains,nonstructural_panels,0
Eastern Great Plains,misc,0.039818997039819
Eastern Great Plains,paper,0
Eastern Great Plains,slash,0.25
Eastern Great Plains,residue,0.3
Erie & Ontario Lake Plain,softwood_lumber,0.0536075415
Erie & Ontario Lake Plain,hardwood_lumber,0.32664613905
Erie & Ontario Lake Plain,plywood,0
Erie & Ontario Lake Plain,osb,0.0064018836
Erie & Ontario Lake Plain,nonstructural_panels,0.00092755575
Erie & Ontario Lake Plain,misc,0.00850553235
Erie & Ontario Lake Plain,paper,0.05391134775
Erie & Ontario Lake Plain,slash,0.25
Erie & Ontario Lake Plain,residue,0.3
Florida Coastal Plains Central Highlands,softwood_lumber,0.20188870065
Florida Coastal Plains Central Highlands,hardwood_lumber,0.0023483898
Florida Coastal Plains Central Highlands,plywood,0.0494309727
Florida Coastal Plains Central Highlands,osb,0.00128577465
Florida Coastal Plains Central Highlands,nonstructural_panels,0.00586739565
Florida Coastal Plains Central Highlands,misc,0.04163323545
Florida Coastal Plains Central Highlands,paper,0.1475455311
Florida Coastal Plains Central Highlands,slash,0.25
Florida Coastal Plains Central Highlands,residue,0.3
Florida Everglades,softwood_lumber,0.0775904661
Florida Everglades,hardwood_lumber,0
Florida Everglades,plywood,0
Florida Everglades,osb,0
Florida Everglades,nonstructural_panels,0
Florida Everglades,misc,0.04917529395
Florida Everglades,paper,0.32323423995
Florida Everglades,slash,0.25
Florida Everglades,residue,0.3
Great Divide Basin,softwood_lumber,0.182686615832687
Great Divide Basin,hardwood_lumber,0.00125447760125448
Great Divide Basin,plywood,0
Great Divide Basin,osb,0
Great Divide Basin,nonstructural_panels,0.000867595050867595
Great Divide Basin,misc,0.265191311515191
Great Divide Basin,paper,0
Great Divide Basin,slash,0.25
Great Divide Basin,residue,0.3
Great Plains,softwood_lumber,0.4058291529
Great Plains,hardwood_lumber,0.0003483171
Great Plains,plywood,0
Great Plains,osb,0
Great Plains,nonstructural_panels,0.0026014509
Great Plains,misc,0.0412210791
Great Plains,paper,0
Great Plains,slash,0.25
Great Plains,residue,0.3
Gulf Coastal Plain,softwood_lumber,0.20175874155
Gulf Coastal Plain,hardwood_lumber,0.0252680364
Gulf Coastal Plain,plywood,0.0881623647
Gulf Coastal Plain,osb,0.0061753797
Gulf Coastal Plain,nonstructural_panels,0.0055797948
Gulf Coastal Plain,misc,0.0112388274
Gulf Coastal Plain,paper,0.11181685545
Gulf Coastal Plain,slash,0.25
Gulf Coastal Plain,residue,0.3
Idaho Batholith,softwood_lumber,0.43916828985
Idaho Batholith,hardwood_lumber,0
